filename,n_v,n_f,energy,cog,bent_min,bent_max,edge_min,edge_max,aspect_ratio_min,aspect_ratio_max,faces_min,faces_max,angle_min,angle_max,angle_aspect_min,angle_aspect_max,solid_angle_min,solid_angle_max
01-00-nslerp-t-0-0-4dihedron.off,4,2,3.82842712475,0.0,0.0,0.0,1.41421356237,1.41421356237,1.0,1.0,2.0,2.0,1.57079632679,1.57079632679,1.0,1.0,nan,nan
01-00-nslerp-t-0-0-cube.off,8,6,19.7407740738,2.77555756156e-17,0.0,0.0,1.15470053838,1.15470053838,1.0,1.0,1.33333333334,1.33333333334,1.23095941734,1.23095941734,1.0,1.0,2.09439510239,2.09439510239
01-00-nslerp-t-0-0-icosahedron.off,12,20,49.1652530576,0.0,0.0,0.0,1.05146222424,1.05146222424,1.0,1.0,0.478727069164,0.478727069164,1.10714871779,1.10714871779,1.0,1.0,0.628318530718,0.628318530718
01-00-nslerp-t-0-0-octahedron.off,6,8,9.98528137424,0.0,0.0,0.0,1.41421356237,1.41421356237,1.0,1.0,0.866025403784,0.866025403784,1.57079632679,1.57079632679,1.0,1.0,1.57079632679,1.57079632679
01-00-nslerp-t-0-0-tetrahedron.off,4,4,3.67423461417,0.0,0.0,0.0,1.63299316186,1.63299316186,1.0,1.0,1.15470053838,1.15470053838,1.91063323625,1.91063323625,1.0,1.0,3.14159265359,3.14159265359
01-00-nslerp2-n-0-0-4dihedron.off,4,2,3.82842712475,0.0,0.0,0.0,1.41421356237,1.41421356237,1.0,1.0,2.0,2.0,1.57079632679,1.57079632679,1.0,1.0,nan,nan
01-00-nslerp2-n-0-0-cube.off,8,6,19.7407740738,2.77555756156e-17,0.0,0.0,1.15470053838,1.15470053838,1.0,1.0,1.33333333334,1.33333333334,1.23095941734,1.23095941734,1.0,1.0,2.09439510239,2.09439510239
01-00-nslerp2-t-0-0-4dihedron.off,4,2,3.82842712475,0.0,0.0,0.0,1.41421356237,1.41421356237,1.0,1.0,2.0,2.0,1.57079632679,1.57079632679,1.0,1.0,nan,nan
01-00-nslerp2-t-0-0-cube.off,8,6,19.7407740738,2.77555756156e-17,0.0,0.0,1.15470053838,1.15470053838,1.0,1.0,1.33333333334,1.33333333334,1.23095941734,1.23095941734,1.0,1.0,2.09439510239,2.09439510239
01-00-other-n-0-0-cube.off,8,6,19.7407740738,2.77555756156e-17,0.0,0.0,1.15470053838,1.15470053838,1.0,1.0,1.33333333334,1.33333333334,1.23095941734,1.23095941734,1.0,1.0,2.09439510239,2.09439510239
01-00-other-n-0-0-icosahedron.off,12,20,49.1652530576,3.19643851029e-18,0.0,0.0,1.05146222424,1.05146222424,1.0,1.0,0.478727069164,0.478727069164,1.10714871779,1.10714871779,1.0,1.0,0.628318530718,0.628318530718
01-00-other-n-0-0-octahedron.off,6,8,9.98528137424,0.0,0.0,0.0,1.41421356237,1.41421356237,1.0,1.0,0.866025403784,0.866025403784,1.57079632679,1.57079632679,1.0,1.0,1.57079632679,1.57079632679
01-00-other-n-0-0-tetrahedron.off,4,4,3.67423461417,0.0,0.0,0.0,1.63299316186,1.63299316186,1.0,1.0,1.15470053838,1.15470053838,1.91063323625,1.91063323625,1.0,1.0,3.14159265359,3.14159265359
01-01-disk-n-0-0-3dihedron.off,5,3,inf,0.4,0.0,0.0,0.0,1.99910153168,inf,inf,0.0,0.0,0.0,3.08164148699,inf,inf,0.0,0.0
01-01-disk-n-0-0-4dihedron.off,6,4,inf,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,nan,nan,nan,nan
01-01-disk-t-0-0-3dihedron.off,5,3,inf,0.4,0.0,0.0,0.0,1.99910153168,inf,inf,0.0,0.0,0.0,3.08164148699,inf,inf,0.0,0.0
01-01-disk-t-0-0-4dihedron.off,6,4,inf,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,nan,nan,nan,nan
01-01-flat-n-0-0-cube.off,14,12,69.3423784212,1.58603289232e-17,0.0602202067927,0.0602202067927,0.919401686762,0.919401686762,1.0,1.0,0.826209116619,0.831022817522,0.955316618125,0.955316618125,1.0,1.0,1.0471975512,1.0471975512
01-01-flat-n-0-0-icosahedron.off,32,60,412.26127465,8.99930588009e-18,0.0,0.0,0.640851820171,0.713644179547,1.1135868809,1.11358688091,0.18994503273,0.18994503273,0.652358139784,0.729727656227,1.11859975637,1.11859975637,0.209439510239,0.209439510239
01-01-flat-n-0-0-octahedron.off,14,24,69.3423784212,2.37904933848e-17,0.0,0.0,0.919401686762,1.15470053838,1.2559260604,1.2559260604,0.413104558309,0.413104558309,0.955316618125,1.23095941734,1.28853554307,1.28853554307,0.523598775598,0.523598775598
01-01-flat-n-0-0-tetrahedron.off,8,12,19.7407740738,2.77555756156e-17,0.0,0.0,1.15470053838,1.63299316186,1.41421356237,1.41421356237,0.666666666668,0.666666666668,1.23095941734,1.91063323625,1.55214965606,1.55214965606,1.0471975512,1.0471975512
01-01-gc-n-0-0-cube.off,14,12,69.3423784212,1.58603289232e-17,0.0602202067927,0.0602202067927,0.919401686762,0.919401686762,1.0,1.0,0.826209116619,0.831022817522,0.955316618125,0.955316618125,1.0,1.0,1.0471975512,1.0471975512
01-01-gc-n-0-0-icosahedron.off,32,60,412.26127465,8.49837472194e-18,0.0,0.0,0.640851820171,0.713644179547,1.1135868809,1.11358688091,0.18994503273,0.18994503273,0.652358139784,0.729727656227,1.11859975637,1.11859975637,0.209439510239,0.209439510239
01-01-gc-n-0-0-octahedron.off,14,24,69.3423784212,2.37904933848e-17,0.0,0.0,0.919401686762,1.15470053838,1.2559260604,1.2559260604,0.413104558309,0.413104558309,0.955316618125,1.23095941734,1.28853554307,1.28853554307,0.523598775598,0.523598775598
01-01-gc-n-0-0-tetrahedron.off,8,12,19.7407740738,2.77555756156e-17,0.0,0.0,1.15470053838,1.63299316186,1.41421356237,1.41421356237,0.666666666668,0.666666666668,1.23095941734,1.91063323625,1.55214965606,1.55214965606,1.0471975512,1.0471975512
01-01-gc-t-0-0-cube.off,14,12,69.3423784212,1.58603289232e-17,0.0602202067927,0.0602202067927,0.919401686762,0.919401686762,1.0,1.0,0.826209116619,0.831022817522,0.955316618125,0.955316618125,1.0,1.0,1.0471975512,1.0471975512
01-01-gc-t-0-0-icosahedron.off,32,60,412.26127465,8.49837472194e-18,0.0,0.0,0.640851820171,0.713644179547,1.1135868809,1.11358688091,0.18994503273,0.18994503273,0.652358139784,0.729727656227,1.11859975637,1.11859975637,0.209439510239,0.209439510239
